Transaction_ID,Date,Customer,City,Product,Sales,Quantity,Feedback_Score
100,25-02-2025,Amit,Delhi,Mobile,25846,1,4.9
101,26-01-2025,Neha,Delhi,Laptop,54947,1,3.6
102,31-01-2025,Sohan,Ahmedabad,Headphones,1989,3,4.2
103,10-03-2025,Anjali,Kolkata,Tablet,15913,3,3.4
104,05-05-2025,Priya,Chennai,Laptop,54944,3,3.7
105,11-02-2025,Karan,Delhi,Monitor,12065,2,4.2
106,24-04-2025,Karan,Chennai,Mobile,25254,3,3.5
107,20-03-2025,Priya,Delhi,Headphones,2866,1,3.7
108,19-03-2025,Sohan,Delhi,Monitor,12906,3,4.1
109,13-05-2025,Vikram,Bangalore,Tablet,15779,1,4.3
110,03-03-2025,Karan,Mumbai,Monitor,11811,1,4.5
111,13-03-2025,Karan,Hyderabad,Laptop,55188,2,4.1
112,23-02-2025,Karan,Delhi,Laptop,54937,3,3.6
113,30-03-2025,Sneha,Ahmedabad,Mobile,24516,1,5
114,22-02-2025,Priya,Bangalore,Mobile,24964,3,4.2
115,28-03-2025,Amit,Hyderabad,Monitor,12860,3,4.2
116,14-01-2025,Sohan,Kolkata,Tablet,15877,2,4.7
117,25-05-2025,Sneha,Pune,Monitor,12318,2,3.2
118,21-05-2025,Anjali,Delhi,Laptop,54560,1,4.4
119,06-05-2025,Sneha,Delhi,Headphones,2250,2,4
120,19-05-2025,Neha,Ahmedabad,Monitor,12729,2,3.8
121,17-05-2025,Karan,Kolkata,Laptop,54740,1,3.6
122,13-05-2025,Anjali,Pune,Laptop,54895,2,4.7
123,08-03-2025,Sneha,Chennai,Tablet,14838,2,3
124,09-02-2025,Anjali,Chennai,Mobile,24665,2,3.3
125,15-04-2025,Sneha,Hyderabad,Monitor,11702,3,3.9
126,02-01-2025,Karan,Hyderabad,Tablet,15332,1,4.9
127,27-02-2025,Amit,Delhi,Headphones,2612,2,3
128,27-04-2025,Sohan,Kolkata,Mobile,25422,2,4.5
129,29-03-2025,Priya,Chennai,Mobile,25489,2,4.4
130,28-02-2025,Pooja,Kolkata,Monitor,12881,3,4.2
131,15-04-2025,Karan,Ahmedabad,Monitor,12789,2,3.6
132,16-02-2025,Rahul,Kolkata,Mobile,25236,3,3.2
133,04-01-2025,Amit,Mumbai,Laptop,55837,3,3.9
134,22-05-2025,Amit,Hyderabad,Laptop,55720,2,4.5
135,17-04-2025,Anjali,Bangalore,Laptop,55339,1,4.4
136,17-02-2025,Rahul,Delhi,Mobile,25049,2,3.9
137,27-03-2025,Pooja,Delhi,Tablet,15880,2,4
138,05-03-2025,Anjali,Ahmedabad,Monitor,12099,3,3.1
